Recorded On,Activity Date,Start Time,Finish Time,Distance,Duration,Max Speed
2021-10-17 19:29:38,2021-10-17,19:29:38,19:55:49,8.293,1571.0,33.08
2021-10-18 18:49:11,2021-10-18,18:49:11,19:13:40,8.771,1469.0,32.8
2021-10-21 19:30:32,2021-10-21,19:30:32,19:57:27,9.448,1615.0,31.87
2021-10-23 20:31:00,2021-10-23,20:31:00,20:58:30,10.216,1650.0,36.1
2021-10-24 19:12:06,2021-10-24,19:12:06,19:44:24,10.234,1938.0,36.05
2021-10-27 18:44:44,2021-10-27,18:44:44,19:17:15,10.809,1951.0,37.39
2021-11-01 09:17:27,2021-11-01,09:17:27,09:25:20,2.297,473.0,28.09
2021-11-01 13:57:17,2021-11-01,13:57:17,14:12:26,5.284,909.0,32.13
2021-11-02 11:43:35,2021-11-02,11:43:35,11:50:58,2.296,443.0,29.99
2021-11-02 17:03:45,2021-11-02,17:03:45,17:13:47,2.356,602.0,31.66
2021-11-04 08:29:59,2021-11-04,08:29:59,08:38:46,2.315,527.0,27.84
2021-11-04 16:12:28,2021-11-04,16:12:28,16:26:04,4.409,816.0,30.25
2021-11-05 07:55:22,2021-11-05,07:55:22,08:04:24,2.311,542.0,28.22
2021-11-05 16:14:53,2021-11-05,16:14:53,16:18:43,0.787,230.0,27.56
2021-11-05 16:22:20,2021-11-05,16:22:20,16:26:28,0.872,248.0,23.97
2021-11-08 08:16:10,2021-11-08,08:16:10,08:26:01,2.288,591.0,25.59
2021-11-08 14:38:34,2021-11-08,14:38:34,15:01:31,7.998,1377.0,32.21
2021-11-09 08:05:09,2021-11-09,08:05:09,08:14:09,2.297,540.0,26.03
2021-11-09 17:22:46,2021-11-09,17:22:46,17:48:13,8.717,1527.0,36.44
2021-11-11 10:44:00,2021-11-11,10:44:00,10:56:17,3.484,737.0,31.96
2021-11-11 16:18:33,2021-11-11,16:18:33,16:46:36,8.122,1683.0,32.2
2021-11-12 09:28:13,2021-11-12,09:28:13,09:35:49,2.358,456.0,32.73
2021-11-12 14:03:10,2021-11-12,14:03:10,14:26:18,8.036,1388.0,38.79
2021-11-15 09:32:04,2021-11-15,09:32:04,09:41:23,2.432,559.0,32.38
